class,precision,recall,f1-score,support
standing,0.539647577092511,0.481335952848723,0.5088265835929388,509.0
sitting,0.3811764705882353,0.375,0.3780630105017503,432.0
walking,0.6212379329926179,0.6163380281690141,0.6187782805429864,3550.0
no_activity,0.7866121935889377,0.7693647540983607,0.7778928830415415,9760.0
no_presence,0.6483460559796438,0.7670078266104756,0.7027027027027027,1661.0
accuracy,0.7150578179989945,,,15912
macro avg,0.5954040460483891,0.6018093123453147,0.5972526920763839,15912.0
weighted avg,0.7163764028763335,0.7150578179989945,0.7150831180987806,15912.0
