class,precision,recall,f1-score,support
standing,0.4392935982339956,0.39096267190569745,0.41372141372141374,509.0
sitting,0.3695652173913043,0.3148148148148148,0.34,432.0
walking,0.642584584075299,0.7115492957746479,0.6753107873278973,3550.0
no_activity,0.8042230644288034,0.7609631147540984,0.7819952619110292,9760.0
no_presence,0.6509090909090909,0.7543648404575557,0.6988287785833798,1661.0
accuracy,0.7253016591251885,,,15912
macro avg,0.5813151110076986,0.5865309475413628,0.581971248308744,15912.0
weighted avg,0.7286830692374673,0.7253016591251885,0.7257318911561635,15912.0
