class,precision,recall,f1-score,support
standing,0.5653846153846154,0.2888015717092338,0.3823146944083225,509.0
sitting,0.4342629482071713,0.2523148148148148,0.3191800878477306,432.0
walking,0.6454849498327759,0.5980281690140845,0.6208510016084223,3550.0
no_activity,0.7722934541598381,0.8207991803278688,0.7958078776138677,9760.0
no_presence,0.7119033927544566,0.7453341360626129,0.7282352941176471,1661.0
accuracy,0.7307692307692307,,,15912
macro avg,0.6258658720677714,0.5410555743857229,0.569277791119198,15912.0
weighted avg,0.7219023116344766,0.7307692307692307,0.7235538425185216,15912.0
