epoch,train_loss,valid_loss,valid_accuracy
1,1.262998327612877,1.0926085710525513,56.1381074168798
2,0.8598042130470276,0.9767933487892151,56.56436487638533
3,0.6095986366271973,0.7963791489601135,64.32225063938618
4,0.4729417562484741,0.5903753042221069,68.07331628303496
5,0.48497630655765533,0.554356038570404,66.53878942881501
6,0.40652671456336975,0.5051918625831604,69.01108269394715
7,0.37769637256860733,0.46821895241737366,74.42455242966751
8,0.3216963857412338,0.5197281241416931,69.56521739130434
9,0.36292407661676407,0.5064066648483276,71.6538789428815
10,0.33629800379276276,0.5284166932106018,69.82097186700767
11,0.284268282353878,0.6011618375778198,66.24040920716112
12,0.23839998245239258,0.6100895404815674,70.54560954816709
13,0.22996364161372185,0.4946345388889313,72.08013640238704
14,0.24411573261022568,0.5761475563049316,77.8772378516624
15,0.21015111356973648,0.5956688523292542,70.076726342711
16,0.18824154138565063,0.5126205086708069,73.69991474850809
17,0.17612482979893684,0.5638198256492615,69.0537084398977
18,0.15732607804238796,0.6148796677589417,71.05711849957375
19,0.1425231583416462,0.5746258497238159,66.79454390451833
20,0.11845070496201515,0.532250165939331,68.88320545609548
21,0.10572338104248047,0.6029373407363892,70.03410059676044
22,0.23446892760694027,0.5965510606765747,77.74936061381074
23,0.11204482987523079,0.6313400268554688,74.85080988917306
24,0.0970993135124445,0.6459280848503113,75.2770673486786
25,0.12459942046552896,0.628667414188385,74.33930093776641
26,0.09763828758150339,0.637547492980957,70.54560954816709
27,0.07184658013284206,0.6328068971633911,73.18840579710145
28,0.07522381190210581,0.6315807104110718,73.48678601875532
29,0.06843837164342403,0.6442501544952393,72.37851662404093
30,0.20899752248078585,0.5577982664108276,74.68030690537084
31,0.07743058539927006,0.5279913544654846,74.76555839727195
32,0.12896759063005447,0.5643103718757629,69.01108269394715
33,0.1401931792497635,0.6529505848884583,70.67348678601876
34,0.12194883823394775,0.6448875069618225,76.25745950554135
