class,precision,recall,f1-score,support
standing,0.5595463137996219,0.4094052558782849,0.4728434504792332,723.0
sitting,0.5468354430379747,0.675,0.6041958041958042,640.0
walking,0.8240270727580372,0.8970528039295947,0.8589906908378246,4886.0
no_activity,0.8903529411764706,0.8442659526996876,0.8666972056802565,6723.0
no_presence,0.9582614694722318,0.9448979591836735,0.9515327967117657,2940.0
accuracy,0.8525012569130216,,,15912
macro avg,0.7558046480488672,0.7541243943382482,0.7508519895809769,15912.0
weighted avg,0.8536861795937012,0.8525012569130216,0.8515517459110337,15912.0
