epoch,train_loss,valid_loss,valid_accuracy,frame_accuracy
1,1.2055325905481975,1.0765424370765686,39.69392635102822,39.69392776489258
2,0.8554829557736715,0.8410333395004272,63.4624581539933,63.46246004104614
3,0.7229029337565104,0.7554724216461182,62.12338593974175,62.123388051986694
4,0.5613532662391663,0.5738466382026672,72.45337159253945,72.453373670578
5,0.46849502126375836,0.5411537289619446,76.9010043041607,76.9010066986084
6,0.40578726927439374,0.5212266594171524,77.45098039215686,77.45097875595093
7,0.3713601728280385,0.4645072966814041,77.90530846484936,77.90530920028687
8,0.3287554234266281,0.7058133631944656,73.14681970349115,73.14682006835938
9,0.2679192175467809,0.38441018760204315,79.67479674796748,79.67479825019836
10,0.268676961461703,0.41754673421382904,79.19655667144907,79.19655442237854
11,0.25877006848653156,0.32756903767585754,84.5767575322812,84.57675576210022
12,0.25010640422503155,0.3625789284706116,85.65279770444764,85.65279841423035
13,0.164268026749293,0.2634442001581192,85.91582974653276,85.91582775115967
14,0.14383076628049216,0.41627779603004456,81.08560497369679,81.085604429245
15,0.14158497005701065,0.3046446144580841,81.94643711142994,81.9464385509491
16,0.1326475813984871,0.3706129342317581,79.43567670970828,79.43567633628845
17,0.15676631281773248,0.26485711708664894,81.42037302725969,81.42037391662598
18,0.11576131482919057,0.2946193814277649,80.20086083213774,80.20086288452148
19,0.14150440444548926,0.38490330427885056,85.41367766618842,85.41367650032043
20,0.11917840441068013,0.29703257977962494,85.46150167384027,85.46150326728821
21,0.0888424888253212,0.3663382828235626,87.06360593017695,87.06360459327698
22,0.0902388369043668,0.4193982928991318,86.68101386896222,86.6810142993927
23,0.0833704670270284,0.2875730097293854,86.10712577714013,86.1071228981018
24,0.0988753152390321,0.4887367710471153,86.0832137733142,86.0832154750824
25,0.07203271612524986,0.3936531990766525,87.03969392635103,87.03969120979309
26,0.0773105410238107,0.29395629465579987,86.10712577714013,86.1071228981018
27,0.09988166640202205,0.40443770587444305,85.10282161645146,85.10282039642334
28,0.0826378936568896,0.32376495003700256,84.98326159732186,84.98325943946838
29,0.08268512785434723,0.34283433854579926,84.67240554758489,84.67240333557129
30,0.07044186691443126,0.44158170372247696,85.41367766618842,85.41367650032043
31,0.07901042451461156,0.19500420428812504,86.72883787661407,86.728835105896
32,0.06993243719140689,0.2820696756243706,86.80057388809182,86.80057525634766
33,0.06852137173215549,0.27224597334861755,83.42898134863701,83.42897891998291
34,0.06636488810181618,0.29298947751522064,84.72022955523673,84.72023010253906
35,0.05892358596126238,0.38996732234954834,85.50932568149211,85.5093240737915
36,0.06532785420616467,0.30056390166282654,85.86800573888092,85.86800694465637
37,0.06990969553589821,0.27615370601415634,84.95934959349593,84.95935201644897
38,0.07493619372447331,0.18216585367918015,89.2156862745098,89.21568393707275
39,0.052351612597703934,0.3067658841609955,87.44619799139168,87.44620084762573
40,0.07173395901918411,0.3353864252567291,86.25059780009565,86.25059723854065
41,0.08734517792860667,0.26347115635871887,86.84839789574366,86.84839606285095
42,0.07633937026063602,0.3337455987930298,86.84839789574366,86.84839606285095
43,0.05602333943049113,0.2447832152247429,86.22668579626973,86.22668385505676
44,0.08022699629267056,0.3514818698167801,87.87661406025825,87.8766119480133
45,0.058256725470225014,0.32990095019340515,88.02008608321377,88.02008628845215
46,0.05977436030904452,0.35951636731624603,84.36154949784792,84.3615472316742
47,0.052122930685679116,0.3450120836496353,86.15494978479197,86.15494966506958
48,0.053097629298766456,0.43114226311445236,87.4701099952176,87.47010827064514
49,0.04545436302820841,0.20544754154980183,89.74175035868005,89.74174857139587
50,0.04726814044018587,0.31435176730155945,88.30703012912483,88.30702900886536
51,0.042122808595498405,0.39142072945833206,89.47871831659494,89.47871923446655
52,0.035526723911364876,0.23020938783884048,88.37876614060258,88.37876319885254
53,0.03383850554625193,0.40378569066524506,87.4701099952176,87.47010827064514
54,0.030937697117527325,0.33382557332515717,88.6178861788618,88.61788511276245
55,0.04717733586827914,0.23872948065400124,88.2831181252989,88.28311562538147
56,0.04020943616827329,0.3256779611110687,88.18747010999522,88.1874680519104
57,0.03289598785340786,0.48442529141902924,88.02008608321377,88.02008628845215
58,0.07033693169554074,0.3406509459018707,88.64179818268771,88.64179849624634
59,0.03763841837644577,0.2586260139942169,88.37876614060258,88.37876319885254
60,0.03317215293645859,0.34043726325035095,87.87661406025825,87.8766119480133
61,0.03960506121317545,0.23530129343271255,88.59397417503587,88.59397172927856
62,0.034604896480838455,0.3709370642900467,86.20277379244381,86.20277643203735
63,0.03368274991710981,0.23027026653289795,88.2831181252989,88.28311562538147
64,0.027248383189241093,0.5290045291185379,87.66140602582496,87.66140341758728
65,0.04781505589683851,0.49805330485105515,87.85270205643234,87.8527045249939
66,0.03139369686444601,0.22993773967027664,87.90052606408418,87.90052533149719
67,0.03966322292884191,0.3536907732486725,87.18316594930656,87.18316555023193
68,0.024783664693435032,0.5376956164836884,88.2831181252989,88.28311562538147
69,0.029148044064641,0.2345733940601349,87.85270205643234,87.8527045249939
