class,precision,recall,f1-score,support
standing,0.44924406047516197,0.4086444007858546,0.4279835390946502,509.0
sitting,0.375,0.3333333333333333,0.35294117647058826,432.0
walking,0.7190656565656566,0.6416901408450705,0.6781780291753499,3550.0
no_activity,0.7808107557547362,0.7854508196721312,0.7831239145980182,9760.0
no_presence,0.5916305916305916,0.74051776038531,0.6577540106951871,1661.0
accuracy,0.7243589743589743,,,15912
macro avg,0.5831502128852293,0.5819272910043398,0.5799961340067588,15912.0
weighted avg,0.7256636309989051,0.7243589743589743,0.7235837752292815,15912.0
