class,precision,recall,f1-score,support
standing,0.4572564612326044,0.4518664047151277,0.45454545454545453,509.0
sitting,0.4430992736077482,0.4236111111111111,0.4331360946745562,432.0
walking,0.6252328985893,0.6616901408450704,0.6429451211167374,3550.0
no_activity,0.7927578402845135,0.7536885245901639,0.7727296601712275,9760.0
no_presence,0.6372448979591837,0.7519566526189043,0.6898646782656724,1661.0
accuracy,0.7143665158371041,,,15912
macro avg,0.59111827433467,0.6085625667760756,0.5986442017547297,15912.0
weighted avg,0.7189240517625071,0.7143665158371041,0.7157265160317952,15912.0
