50%,0.0,0.0,0,0,19,3
50%,1.0,0.5,0.6666666666666666,1,0,1
50%,0.3,0.6,0.4,3,7,2
50%,0.42857142857142855,0.6,0.5,3,4,2
50%,0.6,0.75,0.6666666666666665,3,2,1
50%,1.0,0.8,0.888888888888889,4,0,1
50%,1.0,0.6666666666666666,0.8,2,0,1
50%,1.0,0.5,0.6666666666666666,1,0,1
50%,1.0,1.0,1.0,3,0,0
50%,1.0,0.6666666666666666,0.8,2,0,1
50%,0.8,0.8,0.8000000000000002,4,1,1
50%,0.2,0.5,0.28571428571428575,2,8,2
50%,1.0,0.6666666666666666,0.8,2,0,1
50%,0.14285714285714285,0.5,0.22222222222222224,1,6,1
50%,1.0,1.0,1.0,2,0,0
50%,0.25,0.6666666666666666,0.36363636363636365,2,6,1
50%,0.25,0.6666666666666666,0.36363636363636365,2,6,1
50%,0.6666666666666666,1.0,0.8,2,1,0
50%,0.125,0.25,0.16666666666666666,1,7,3
50%,1.0,0.6666666666666666,0.8,2,0,1
50%,1.0,0.75,0.8571428571428571,3,0,1
50%,1.0,0.5,0.6666666666666666,1,0,1
50%,1.0,1.0,1.0,2,0,0
50%,0.2,0.3333333333333333,0.25,1,4,2
50%,1.0,1.0,1.0,3,0,0
50%,0.10526315789473684,0.4,0.16666666666666666,2,17,3
50%,0.07142857142857142,0.5,0.125,1,13,1
50%,0.14285714285714285,0.3333333333333333,0.2,2,12,4
50%,0.6666666666666666,0.5,0.5714285714285715,2,1,2
50%,0.75,0.75,0.75,3,1,1
50%,1.0,0.5,0.6666666666666666,1,0,1
50%,1.0,0.5,0.6666666666666666,1,0,1
