frame,person_detected,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,True,1637.558349609375,767.694580078125,0.969835638999939,1647.609375,753.0444946289062,0.7184299826622009,1626.482177734375,749.444091796875,0.9722683429718018,0.0,0.0,0.16017088294029236,1584.5474853515625,736.5715942382812,0.9543197751045227,1605.0224609375,810.6302490234375,0.9741845726966858,1526.9744873046875,790.0863037109375,0.9972062706947327,1549.237548828125,910.2740478515625,0.8722288012504578,1467.572509765625,886.5532836914062,0.9935785531997681,1525.926513671875,962.2333374023438,0.8558271527290344,1427.1292724609375,983.1495361328125,0.9836253523826599,1501.586181640625,971.002685546875,0.9474657773971558,1440.2523193359375,958.1808471679688,0.979090690612793,1521.79296875,1063.187255859375,0.5224370956420898,1407.7703857421875,1049.2884521484375,0.7245296239852905,0.0,0.0,0.1355135291814804,0.0,0.0,0.20990654826164246
1,True,1635.438232421875,773.293212890625,0.9557695984840393,1644.7158203125,758.8848266601562,0.6196368932723999,1626.52880859375,755.8712768554688,0.958713710308075,0.0,0.0,0.13584695756435394,1587.3651123046875,739.1986083984375,0.9421226382255554,1603.7099609375,806.8453369140625,0.9714099764823914,1529.6217041015625,787.485595703125,0.9973358511924744,1552.541748046875,905.5968017578125,0.8835450410842896,1469.021240234375,883.2273559570312,0.9952667951583862,1528.759521484375,958.5531005859375,0.8758903741836548,1429.757080078125,982.9978637695312,0.9879510998725891,1501.595947265625,965.0297241210938,0.9595188498497009,1442.7181396484375,952.5643310546875,0.985022246837616,1524.715087890625,1058.34912109375,0.5914016366004944,1409.498779296875,1045.083740234375,0.7893511056900024,0.0,0.0,0.16508828103542328,0.0,0.0,0.26149600744247437
2,True,1637.896728515625,773.4287109375,0.93017578125,1645.494384765625,759.4921875,0.5029218196868896,1631.0126953125,756.9314575195312,0.9326993227005005,0.0,0.0,0.12397123873233795,1594.765380859375,741.0106201171875,0.9268155097961426,1604.4752197265625,805.888671875,0.9677927494049072,1531.5986328125,789.6114501953125,0.997267484664917,1552.2996826171875,906.7919921875,0.8762096762657166,1471.201416015625,887.5357666015625,0.9953793287277222,1520.5048828125,963.6383056640625,0.8610489368438721,1429.845703125,985.8414306640625,0.9871138334274292,1501.589599609375,962.9214477539062,0.9605398774147034,1445.031982421875,951.5205688476562,0.9860274791717529,1512.095458984375,1055.405517578125,0.5936740040779114,1409.670166015625,1046.3851318359375,0.7969785332679749,0.0,0.0,0.16729828715324402,0.0,0.0,0.2701250910758972
3,True,1638.791748046875,777.2462768554688,0.8722474575042725,0.0,0.0,0.3459998369216919,1633.959716796875,761.7601318359375,0.8709726929664612,0.0,0.0,0.10001480579376221,1600.91845703125,746.3406372070312,0.8923969268798828,1601.149658203125,804.5439453125,0.9599945545196533,1535.861328125,793.609130859375,0.9963255524635315,1555.0594482421875,897.888671875,0.8815523386001587,1471.99560546875,888.83349609375,0.9950281977653503,1528.254638671875,953.83935546875,0.8708010911941528,1431.77880859375,985.6009521484375,0.9868205189704895,1499.4716796875,954.6290283203125,0.9640979766845703,1448.965087890625,945.583984375,0.986642599105835,1506.8936767578125,1050.476806640625,0.6250110268592834,1412.135009765625,1045.103271484375,0.8094307780265808,0.0,0.0,0.1827142983675003,0.0,0.0,0.2843282222747803
4,True,1639.8525390625,790.967041015625,0.939130961894989,1648.3677978515625,775.5499877929688,0.5163488984107971,1632.313720703125,773.9979248046875,0.9440546631813049,0.0,0.0,0.11697135120630264,1596.567138671875,756.8536376953125,0.936378538608551,1605.051025390625,810.6724853515625,0.9709973335266113,1533.530517578125,801.676513671875,0.9979920387268066,1551.890625,897.3511962890625,0.8887798190116882,1466.71533203125,894.1397705078125,0.99685138463974,1524.478759765625,956.8672485351562,0.8854944109916687,1432.43603515625,985.669921875,0.9914242625236511,1494.528564453125,943.6466064453125,0.9737918376922607,1439.48095703125,935.2730712890625,0.9915143251419067,1510.7320556640625,1047.856689453125,0.7185998558998108,1409.390380859375,1042.7508544921875,0.8820034861564636,0.0,0.0,0.2527168393135071,0.0,0.0,0.3967994153499603
5,True,1637.0826416015625,805.6461181640625,0.898872971534729,0.0,0.0,0.40748122334480286,1631.608154296875,787.38232421875,0.912445604801178,0.0,0.0,0.10507974773645401,1597.969482421875,769.7801513671875,0.9213941097259521,1588.892578125,829.4364624023438,0.9507473111152649,1532.988525390625,815.7056884765625,0.9966439008712769,1538.872802734375,904.13916015625,0.8093740344047546,1463.2767333984375,898.7684326171875,0.9944378137588501,1527.340087890625,955.0867919921875,0.8044831156730652,1431.0869140625,983.414794921875,0.9844475984573364,1478.56884765625,947.1695556640625,0.9496919512748718,1437.6920166015625,936.6353759765625,0.9841263294219971,1468.6590576171875,1051.7877197265625,0.6051689386367798,1400.129150390625,1045.2154541015625,0.821254551410675,0.0,0.0,0.19490762054920197,0.0,0.0,0.3229363262653351
6,True,1638.5205078125,824.7701416015625,0.8487837314605713,0.0,0.0,0.32357779145240784,1635.72900390625,807.7329711914062,0.8634477257728577,0.0,0.0,0.10566090047359467,1608.8170166015625,789.6256103515625,0.8977705240249634,1584.7489013671875,839.17431640625,0.9448078870773315,1538.9827880859375,826.2229614257812,0.9958704113960266,1528.7645263671875,902.02294921875,0.816022515296936,1458.8082275390625,896.5523071289062,0.9938430786132812,1520.31396484375,953.8831787109375,0.811231255531311,1427.2523193359375,980.8101196289062,0.9832683205604553,1466.4476318359375,938.3558349609375,0.9540043473243713,1432.9178466796875,929.0126953125,0.9847842454910278,1461.1405029296875,1046.447265625,0.6465160846710205,1403.106201171875,1044.4072265625,0.8397841453552246,0.0,0.0,0.22450092434883118,0.0,0.0,0.35632097721099854
7,True,1633.018798828125,842.53759765625,0.8607704043388367,0.0,0.0,0.3119763731956482,1630.46630859375,825.5123291015625,0.8888270854949951,0.0,0.0,0.08840000629425049,1601.7308349609375,802.5704345703125,0.9177769422531128,1577.4267578125,842.7405395507812,0.9412446618080139,1531.67333984375,827.618896484375,0.9970642924308777,1521.124755859375,899.5288696289062,0.788503885269165,1451.367919921875,893.5709228515625,0.9959147572517395,1509.426025390625,957.0408325195312,0.7974351644515991,1421.82568359375,980.2117919921875,0.9882051944732666,1449.1929931640625,924.2054443359375,0.9608756899833679,1417.533935546875,912.9683837890625,0.9895299077033997,1443.771484375,1036.9296875,0.721810519695282,1400.9683837890625,1030.804443359375,0.9020567536354065,0.0,0.0,0.3032759428024292,0.0,0.0,0.4894636869430542
8,True,1638.657958984375,854.1865234375,0.7193260192871094,0.0,0.0,0.15671367943286896,1636.720458984375,840.0810546875,0.8073769807815552,0.0,0.0,0.04908017814159393,1610.659912109375,822.9671630859375,0.8932059407234192,1579.046142578125,842.9552001953125,0.8532042503356934,1532.8214111328125,844.999267578125,0.9946460723876953,1535.00927734375,869.6597900390625,0.5864824652671814,1444.7410888671875,903.298095703125,0.993924081325531,1560.984375,891.5806274414062,0.6335581541061401,1413.8980712890625,985.402587890625,0.9816656708717346,1443.076904296875,920.7892456054688,0.9427313208580017,1410.6019287109375,917.6925048828125,0.987250030040741,1461.114013671875,1029.6478271484375,0.7242591381072998,1399.109130859375,1031.655517578125,0.9185550808906555,0.0,0.0,0.38302338123321533,1326.46044921875,1080.0,0.6083091497421265
9,True,1617.2816162109375,886.6766357421875,0.8420543670654297,0.0,0.0,0.3168748617172241,1613.504638671875,871.9130859375,0.9059321880340576,0.0,0.0,0.07351204007863998,1578.962890625,849.1341552734375,0.9033207893371582,1574.520263671875,871.680419921875,0.8459340929985046,1507.722412109375,857.840576171875,0.9970043301582336,1526.4390869140625,932.8159790039062,0.5630141496658325,1426.2540283203125,911.1044311523438,0.9969387054443359,1495.3050537109375,1004.6852416992188,0.6750269532203674,1411.797607421875,994.799560546875,0.9915000796318054,1439.85986328125,923.7449951171875,0.9471012949943542,1391.119140625,912.1375732421875,0.9911612272262573,1455.7498779296875,1039.16650390625,0.7369915246963501,1379.1309814453125,1030.81591796875,0.943193793296814,0.0,0.0,0.4178406894207001,1313.4464111328125,1070.81884765625,0.6986057758331299
10,True,1615.16259765625,895.576171875,0.7581222653388977,0.0,0.0,0.22917500138282776,1613.740966796875,881.4478759765625,0.8204989433288574,0.0,0.0,0.07356689870357513,1585.501220703125,861.386962890625,0.8636557459831238,1566.528076171875,884.5079956054688,0.8987444043159485,1508.1474609375,866.5382080078125,0.9958702921867371,1516.505615234375,955.8026733398438,0.7523095607757568,1420.060791015625,922.2954711914062,0.9962213039398193,1505.6328125,1026.421875,0.801223635673523,1409.613525390625,997.6396484375,0.9907767176628113,1428.56982421875,923.4376831054688,0.9688190817832947,1385.3104248046875,912.5121459960938,0.9922422170639038,1461.2047119140625,1029.1287841796875,0.8248783946037292,1386.306884765625,1025.026123046875,0.9495700597763062,1393.41455078125,1059.7186279296875,0.5070149898529053,1313.43115234375,1076.226318359375,0.7151059508323669
11,True,1599.422119140625,921.40283203125,0.7596238255500793,0.0,0.0,0.24922916293144226,1600.785888671875,906.46484375,0.7917792797088623,0.0,0.0,0.09936796873807907,1579.430419921875,881.0361328125,0.851494312286377,1551.30908203125,900.0151977539062,0.9503222703933716,1507.3399658203125,873.4581298828125,0.996161699295044,1516.4246826171875,977.867919921875,0.8981269598007202,1429.3905029296875,930.0443115234375,0.996752142906189,1525.791259765625,1060.06298828125,0.907768726348877,1409.778564453125,998.716064453125,0.9928349256515503,1417.51416015625,918.8117065429688,0.9855797290802002,1383.06982421875,904.646240234375,0.9949277639389038,1458.968505859375,1026.231689453125,0.9027647376060486,1384.2010498046875,1020.4697265625,0.9638289213180542,1402.7762451171875,1056.373046875,0.6179695725440979,1302.814208984375,1072.7386474609375,0.7578426003456116
12,True,1547.28662109375,954.1435546875,0.5484867095947266,0.0,0.0,0.21362827718257904,0.0,0.0,0.4985449016094208,0.0,0.0,0.11351025849580765,0.0,0.0,0.4898217022418976,1530.658935546875,920.138916015625,0.808824360370636,1463.3980712890625,903.7122802734375,0.9581813812255859,1498.62548828125,977.3853759765625,0.7531604766845703,1394.2996826171875,957.299560546875,0.965247631072998,1486.783447265625,1052.7186279296875,0.8183058500289917,1401.294189453125,1026.070556640625,0.9560850262641907,1419.06640625,918.2332763671875,0.9182255864143372,1371.019287109375,910.3282470703125,0.9543565511703491,1448.821533203125,1040.527099609375,0.6819471716880798,1376.9376220703125,1041.815673828125,0.7953512668609619,0.0,0.0,0.3628450036048889,0.0,0.0,0.4524729549884796
13,True,1549.71630859375,952.193603515625,0.6269012093544006,0.0,0.0,0.2204287201166153,1553.481689453125,935.6890869140625,0.6370985507965088,0.0,0.0,0.11787953972816467,1543.8321533203125,911.6448974609375,0.7014614939689636,1523.304443359375,928.7916259765625,0.8931543231010437,1463.34423828125,891.9684448242188,0.9852598905563354,1495.028564453125,1008.2528076171875,0.8208596110343933,1383.7591552734375,940.4302368164062,0.988059937953949,1501.193115234375,1079.9615478515625,0.8425166606903076,1393.5194091796875,1014.6119384765625,0.9785729050636292,1396.695556640625,921.1903076171875,0.94175124168396,1355.1904296875,904.6116943359375,0.9741698503494263,1434.83056640625,1043.365966796875,0.6773099303245544,1370.1806640625,1034.204345703125,0.831697404384613,0.0,0.0,0.2915310859680176,0.0,0.0,0.41303765773773193
14,True,1548.46484375,931.6220703125,0.7321168184280396,0.0,0.0,0.24931927025318146,1552.16796875,915.4048461914062,0.7664543986320496,0.0,0.0,0.10470258444547653,1536.0911865234375,889.1665649414062,0.8219471573829651,1512.076416015625,919.3729248046875,0.9301621913909912,1458.134521484375,879.351806640625,0.9932026863098145,1498.340087890625,1005.1536254882812,0.862160861492157,1387.0416259765625,938.50927734375,0.9945521950721741,1523.864501953125,1076.2559814453125,0.8756086230278015,1394.5618896484375,1012.23974609375,0.9887940287590027,1392.685546875,944.4656982421875,0.9624049067497253,1353.5770263671875,927.408447265625,0.9857396483421326,1449.48046875,1044.0772705078125,0.736495852470398,1375.4739990234375,1032.2890625,0.8860654234886169,0.0,0.0,0.33204784989356995,0.0,0.0,0.4860798716545105
15,True,1541.443603515625,919.008056640625,0.6750482320785522,0.0,0.0,0.21502000093460083,1546.09033203125,904.4262084960938,0.6799140572547913,0.0,0.0,0.11055471748113632,1533.2132568359375,879.9617919921875,0.7672049403190613,1504.0330810546875,906.0529174804688,0.9342445731163025,1458.763427734375,876.8208618164062,0.9915265440940857,1500.581298828125,985.6285400390625,0.8909969329833984,1391.6707763671875,940.8784790039062,0.9935025572776794,1534.1986083984375,1063.3551025390625,0.8991206884384155,1398.3822021484375,1011.86572265625,0.987414538860321,1389.0330810546875,941.69921875,0.9700741767883301,1355.4027099609375,929.3831176757812,0.9866928458213806,1443.828125,1040.525634765625,0.778956413269043,1369.109619140625,1036.30517578125,0.8925104141235352,0.0,0.0,0.3705271780490875,1317.638916015625,1080.0,0.5003688931465149
16,True,1539.7203369140625,883.4627685546875,0.775166392326355,0.0,0.0,0.246245875954628,1540.1865234375,866.86572265625,0.8322172164916992,0.0,0.0,0.0755317360162735,1515.138671875,847.8213500976562,0.880419135093689,1493.612060546875,894.8603515625,0.911601185798645,1437.79248046875,860.7526245117188,0.9930381178855896,1496.1497802734375,988.8294067382812,0.7981731295585632,1381.6729736328125,934.554931640625,0.9940083026885986,1534.76025390625,1054.626708984375,0.8216460943222046,1388.349853515625,1013.50634765625,0.9869128465652466,1382.5072021484375,955.7005004882812,0.925487756729126,1340.7867431640625,943.0955810546875,0.9742350578308105,1452.6063232421875,1043.7379150390625,0.5112411975860596,1368.6363525390625,1038.7608642578125,0.7668456435203552,0.0,0.0,0.15770864486694336,0.0,0.0,0.27632176876068115
17,True,1534.212646484375,866.975830078125,0.7822476029396057,0.0,0.0,0.23695243895053864,1533.0399169921875,850.7266845703125,0.8449994921684265,0.0,0.0,0.06266907602548599,1506.4119873046875,836.180908203125,0.8885819315910339,1488.580078125,884.5797729492188,0.8875404596328735,1432.8248291015625,859.2947998046875,0.9935025572776794,1481.8314208984375,964.9531860351562,0.7451963424682617,1380.1873779296875,930.0384521484375,0.994640052318573,1508.51953125,1011.9954833984375,0.798245906829834,1389.95263671875,1008.21337890625,0.9884204864501953,1392.88427734375,955.1114501953125,0.9249144792556763,1348.712890625,947.095458984375,0.9777222871780396,1467.3310546875,1040.309814453125,0.5280250906944275,1368.3951416015625,1039.910400390625,0.8016262054443359,0.0,0.0,0.17543332278728485,0.0,0.0,0.32425251603126526
18,True,1533.81103515625,826.884521484375,0.8589569330215454,0.0,0.0,0.34893789887428284,1529.276611328125,811.6011962890625,0.8820033073425293,0.0,0.0,0.07938656955957413,1494.220947265625,797.989990234375,0.9020717740058899,1491.6993408203125,833.3958740234375,0.9632434844970703,1420.7381591796875,826.2265625,0.9931506514549255,1480.0462646484375,915.541748046875,0.9187681674957275,1377.55419921875,922.3896484375,0.9925553202629089,1497.0972900390625,981.70458984375,0.9127373099327087,1393.14599609375,1009.0682373046875,0.9853376746177673,1401.395263671875,924.81591796875,0.9753949046134949,1346.0977783203125,924.1988525390625,0.98675936460495,1488.296142578125,1028.533203125,0.7851073741912842,1370.87890625,1032.0133056640625,0.8739593625068665,0.0,0.0,0.33841729164123535,0.0,0.0,0.4202296733856201
19,True,1525.1632080078125,812.2890014648438,0.868960440158844,0.0,0.0,0.3769639730453491,1522.17138671875,796.015380859375,0.9017645716667175,0.0,0.0,0.0900883823633194,1488.935302734375,783.3594360351562,0.9180780053138733,1483.7938232421875,834.786376953125,0.9513296484947205,1415.4400634765625,818.3076782226562,0.9950173497200012,1478.716064453125,921.00634765625,0.8639787435531616,1374.4564208984375,914.4633178710938,0.9940213561058044,1500.518798828125,978.0216064453125,0.8587057590484619,1394.0618896484375,1003.9656372070312,0.985933244228363,1405.3289794921875,937.001220703125,0.963518500328064,1351.4638671875,933.534912109375,0.9852590560913086,1496.619384765625,1033.95703125,0.6862595081329346,1382.23828125,1031.520263671875,0.8511090278625488,0.0,0.0,0.2588450014591217,0.0,0.0,0.3876073956489563
20,True,1524.2279052734375,789.436279296875,0.9286907315254211,1529.610595703125,777.695068359375,0.5243940949440002,1517.3145751953125,774.1368408203125,0.9433704018592834,0.0,0.0,0.10717152804136276,1479.3084716796875,768.9691772460938,0.9426059722900391,1489.1964111328125,823.8170166015625,0.9723391532897949,1403.4803466796875,816.6866455078125,0.9959794282913208,1479.4918212890625,909.2711791992188,0.9189296364784241,1360.635498046875,916.6529541015625,0.9943085312843323,1490.65087890625,963.24169921875,0.9106270670890808,1385.2763671875,1004.200927734375,0.9875105619430542,1411.8890380859375,938.171875,0.9649054408073425,1345.3594970703125,939.3819580078125,0.9826180338859558,1500.08984375,1033.9124755859375,0.6009445786476135,1364.6396484375,1039.890625,0.7601823806762695,0.0,0.0,0.15701793134212494,0.0,0.0,0.22339601814746857
21,True,1520.3206787109375,785.9871826171875,0.9285075664520264,1525.78369140625,775.4979858398438,0.5043501853942871,1515.3331298828125,769.751953125,0.9486705660820007,0.0,0.0,0.09976478666067123,1476.19189453125,759.2313232421875,0.9502983093261719,1481.636962890625,823.7067260742188,0.9664526581764221,1401.544189453125,808.625,0.9965466856956482,1480.611572265625,915.4187622070312,0.8856146335601807,1364.60986328125,908.2862548828125,0.9950501322746277,1495.0709228515625,970.3057250976562,0.8775261044502258,1392.1199951171875,990.7055053710938,0.9882221817970276,1417.650146484375,948.5670776367188,0.9511837959289551,1357.359130859375,946.7314453125,0.9800211787223816,1494.1123046875,1039.0169677734375,0.5122618079185486,1377.1988525390625,1040.9892578125,0.7305211424827576,0.0,0.0,0.12196806073188782,0.0,0.0,0.1983204483985901
22,True,1521.8917236328125,774.4963989257812,0.9550229907035828,1527.1724853515625,762.7611083984375,0.6284942030906677,1512.5802001953125,759.1270751953125,0.9696985483169556,0.0,0.0,0.11575782299041748,1471.249267578125,754.825927734375,0.9638525247573853,1481.40283203125,818.9701538085938,0.9655030369758606,1404.185791015625,806.0469360351562,0.9967703819274902,1471.5103759765625,913.16015625,0.8511514067649841,1363.944091796875,902.220458984375,0.9941378831863403,1490.176513671875,966.1510009765625,0.8380351066589355,1389.0657958984375,982.670166015625,0.9854464530944824,1419.9105224609375,950.8739013671875,0.9377421736717224,1360.36474609375,951.0203247070312,0.9758325815200806,0.0,0.0,0.44709184765815735,1377.7890625,1054.672119140625,0.6865271329879761,0.0,0.0,0.10338711738586426,0.0,0.0,0.17461997270584106
