class,precision,recall,f1-score,support
standing,0.5482695810564663,0.41632088520055327,0.47327044025157233,723.0
sitting,0.5385572139303483,0.6765625,0.5997229916897507,640.0
walking,0.8260049065861483,0.8958248055669259,0.859499263622975,4886.0
no_activity,0.8890637293469709,0.8403986315632902,0.864046490289035,6723.0
no_presence,0.9566265060240964,0.9452380952380952,0.9508982035928144,2940.0
accuracy,0.850930115635998,,,15912
macro avg,0.751704387388806,0.754868983513773,0.7494874778892294,15912.0
weighted avg,0.8526013623497798,0.850930115635998,0.8503102009691579,15912.0
